City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,burang,30.25,81.1667,12.65,75,73,1.99,CN,1722360916
1,qaqortoq,60.7167,-46.0333,10.4,44,0,14.95,GL,1722360917
2,grytviken,-54.2811,-36.5092,-3.19,65,23,3.29,GS,1722360918
3,puerto ayora,-0.7393,-90.3518,25.98,94,98,3.13,EC,1722360919
4,bredasdorp,-34.5322,20.0403,7.91,72,20,1.26,ZA,1722360920
5,malvan,16.0667,73.4667,26.8,88,82,7.66,IN,1722360921
6,serik,36.9169,31.0989,31.14,67,0,2.14,TR,1722360922
7,port-aux-francais,-49.35,70.2167,2.98,94,99,12.9,TF,1722360923
8,bam,29.106,58.357,37.03,14,8,5.21,IR,1722360925
9,uturoa,-16.7333,-151.4333,23.56,62,96,10.4,PF,1722360926
10,batken,39.8333,71.0,21.03,32,79,1.0,KG,1722360927
11,bikenibeu village,1.3673,173.1241,26.98,94,75,1.54,KI,1722360928
12,whitehorse,60.7161,-135.0538,16.43,57,75,6.17,CA,1722360929
13,crane,31.3974,-102.3501,32.71,43,1,8.04,US,1722360931
14,iqaluit,63.7506,-68.5145,4.85,81,100,1.54,CA,1722360932
15,jwaneng,-24.6004,24.7303,13.51,19,24,2.07,BW,1722360934
16,west island,-12.1568,96.8225,26.99,69,40,4.12,CC,1722360935
17,edinburgh of the seven seas,-37.0676,-12.3116,14.7,90,60,14.29,SH,1722360936
18,port hedland,-20.3167,118.5667,21.03,73,65,0.0,AU,1722360937
19,hamilton,39.1834,-84.5333,30.43,69,20,6.17,US,1722360793
20,san rafael del yuma,18.4299,-68.6739,32.11,53,82,5.38,DO,1722360939
21,bouar,5.934,15.596,19.4,96,97,1.63,CF,1722360940
22,chonchi,-42.6128,-73.8092,11.73,71,100,1.73,CL,1722360718
23,richards bay,-28.783,32.0377,18.55,56,60,5.67,ZA,1722360792
24,adamstown,-25.066,-130.1015,22.01,83,77,8.42,PN,1722360944
25,nelson bay,-32.7167,152.15,10.62,91,99,0.89,AU,1722360945
